plant_id,temperature,moisture,last_watered,measurement_time
0,13.16,98.9,2025-04-01 14:03:04,2025-04-01 14:22:00
1,12.03,98.37,2025-04-01 13:54:32,2025-04-01 14:22:04
2,9.12,99.4,2025-04-01 14:10:54,2025-04-01 14:21:58
3,9.99,18.63,2025-03-31 14:50:16,2025-04-01 14:22:06
4,11.33,96.09,2025-04-01 13:16:25,2025-04-01 14:21:57
5,11.18,20.21,2025-03-31 14:56:18,2025-04-01 14:22:00
6,10.96,97.42,2025-04-01 13:35:35,2025-04-01 14:21:58
8,11.52,96.48,2025-04-01 13:23:01,2025-04-01 14:21:59
9,10.6,99.46,2025-04-01 14:12:43,2025-04-01 14:22:02
10,13.95,95.54,2025-04-01 13:04:57,2025-04-01 14:21:59
11,9.46,97.49,2025-04-01 13:37:24,2025-04-01 14:22:02
12,12.8,95.98,2025-04-01 13:13:51,2025-04-01 14:22:00
13,9.52,97.51,2025-04-01 13:36:47,2025-04-01 14:22:03
14,13.13,99.77,2025-04-01 14:17:54,2025-04-01 14:21:59
15,9.98,97.85,2025-04-01 13:45:31,2025-04-01 14:22:02
16,13.28,97.32,2025-04-01 13:50:40,2025-04-01 14:21:59
17,9.77,98.87,2025-04-01 14:02:40,2025-04-01 14:22:03
18,14.58,16.56,2025-03-31 14:29:39,2025-04-01 14:21:58
19,13.86,96.78,2025-04-01 13:24:30,2025-04-01 14:22:01
20,89.63,17.15,2025-03-31 14:49:34,2025-04-01 14:22:04
21,11.02,18.05,2025-03-31 14:23:59,2025-04-01 14:22:07
22,9.54,95.4,2025-04-01 13:03:26,2025-04-01 14:22:04
23,11.41,19.08,2025-03-31 14:56:47,2025-04-01 14:22:07
24,13.06,15.34,2025-03-31 14:44:00,2025-04-01 14:22:05
25,11.59,98.67,2025-04-01 13:58:41,2025-04-01 14:22:08
26,19.4,20.58,2025-03-31 14:23:18,2025-04-01 14:22:05
27,10.75,19.71,2025-03-31 14:58:20,2025-04-01 14:22:08
28,12.41,14.58,2025-03-31 14:37:02,2025-04-01 14:22:06
29,10.83,96.03,2025-04-01 13:11:24,2025-04-01 14:22:10
30,14.51,98.51,2025-04-01 13:55:19,2025-04-01 14:22:14
31,13.36,95.58,2025-04-01 13:05:43,2025-04-01 14:22:15
32,10.61,14.58,2025-03-31 14:29:54,2025-04-01 14:22:06
33,13.54,99.06,2025-04-01 14:05:58,2025-04-01 14:22:09
34,13.41,97.79,2025-04-01 13:44:15,2025-04-01 14:22:07
35,12.92,97.07,2025-04-01 13:32:46,2025-04-01 14:22:11
36,12.3,99.31,2025-04-01 14:09:55,2025-04-01 14:22:07
37,11.08,17.8,2025-03-31 14:23:43,2025-04-01 14:22:10
38,11.07,97.99,2025-04-01 13:46:06,2025-04-01 14:22:08
39,13.4,99.77,2025-04-01 14:18:23,2025-04-01 14:22:12
40,9.08,99.08,2025-04-01 14:05:38,2025-04-01 14:22:10
41,11.75,97.93,2025-04-01 13:45:13,2025-04-01 14:22:14
42,9.86,18.2,2025-03-31 14:49:43,2025-04-01 14:22:11
44,9.57,97.17,2025-04-01 13:32:40,2025-04-01 14:22:11
45,9.0,98.96,2025-04-01 14:04:23,2025-04-01 14:22:14
46,13.31,99.47,2025-04-01 14:12:39,2025-04-01 14:22:13
47,13.34,95.55,2025-04-01 13:30:18,2025-04-01 14:22:14
48,14.89,16.15,2025-03-31 14:31:09,2025-04-01 14:22:14
49,9.39,98.83,2025-04-01 14:02:15,2025-04-01 14:22:15
50,13.16,98.89,2025-04-01 14:03:04,2025-04-01 14:22:13
